RISE-SHAP-0.9,RISE-SHAP-0.95,RISE-SHAP-0.99,LIME-SHAP-0.9,LIME-SHAP-0.95,LIME-SHAP-0.99,RISE-LIME-0.9,RISE-LIME-0.95,RISE-LIME-0.99,
1.03E-07,0.000140237,0.077443946,1.13E-67,1.17E-34,6.40E-09,3.69E-29,7.51E-16,4.02E-05,
2.11E-69,4.83E-35,2.11E-08,3.95E-28,2.74E-15,0.000112906,1.76E-104,1.47E-52,9.10E-13,
4.49E-33,8.85E-18,8.14E-06,0.021940232,0.09959086,0.351338675,3.99E-26,2.67E-14,0.000129364,
2.87E-69,4.33E-35,1.35E-08,1.00E-23,8.97E-13,0.000264878,7.75E-07,0.000242326,0.041571455,
1.79E-56,7.22E-29,3.01E-07,4.72E-30,8.20E-16,0.000186837,2.17E-06,0.000301102,0.029469989,
3.73E-113,8.33E-57,5.84E-13,4.35E-09,3.14E-05,0.053524378,3.31E-63,2.53E-32,2.20E-08,
5.17E-28,9.10E-15,0.000367224,1.02E-61,8.35E-32,4.18E-08,6.00E-25,2.26E-13,0.000267689,
1.05E-127,8.43E-64,2.05E-14,1.86E-29,1.97E-15,0.000233352,1.82E-56,3.13E-29,5.77E-08,
1.22E-83,4.37E-42,4.74E-10,1.30E-83,4.24E-42,2.03E-10,1.10E-09,1.13E-05,0.033186454,
6.78E-138,4.89E-69,1.42E-15,2.59E-83,3.49E-42,4.08E-10,3.45E-58,8.06E-30,1.46E-07,
3.61E-25,2.19E-13,0.000515965,6.28E-82,7.45E-42,1.99E-10,2.96E-13,8.27E-08,0.001803302,
4.92E-29,3.35E-15,0.000262462,0.001242104,0.023416679,0.307791919,7.94E-32,1.04E-16,0.000116961,
1.92E-53,3.67E-27,8.90E-07,1.04E-62,2.92E-32,1.16E-08,1.40E-20,4.17E-11,0.001878981,
5.62E-44,1.46E-22,8.88E-06,1.43E-47,6.16E-25,5.83E-07,6.00E-35,2.77E-18,4.55E-05,
5.68E-79,8.37E-40,2.26E-09,3.49E-78,2.69E-39,3.58E-09,7.46E-38,1.10E-19,2.50E-05,
9.40E-34,5.24E-18,2.14E-05,4.21E-49,4.70E-25,2.79E-06,7.97E-60,4.45E-31,5.15E-08,
1.05E-93,3.53E-47,2.91E-11,1.06E-159,1.39E-79,4.96E-18,9.57E-13,3.52E-07,0.012347839,
5.75E-132,6.03E-66,7.44E-15,1.10E-51,9.75E-27,1.91E-07,1.68E-55,1.88E-28,3.00E-07,
3.41E-12,3.43E-07,0.006090831,3.40E-83,5.45E-42,4.00E-10,5.76E-76,3.35E-38,5.89E-09,
2.96E-50,7.19E-26,1.17E-06,0.065795061,0.160248232,0.319340346,1.98E-24,4.98E-13,0.000557511,
1.35E-25,9.63E-14,0.000241871,1.95E-08,6.34E-05,0.061817632,1.72E-24,2.71E-13,0.000202281,
2.02E-134,5.75E-67,6.76E-15,1.54E-34,1.81E-18,6.47E-06,1.62E-19,1.10E-10,0.001684723,
9.16E-11,2.14E-06,0.013022117,1.74E-28,7.23E-15,0.000407839,2.02E-45,1.72E-23,3.29E-06,
5.63E-10,6.55E-06,0.019279343,0.2654288,0.422748934,0.504813424,3.78E-19,1.63E-10,0.001161081,
6.42E-66,2.29E-33,4.48E-08,1.72E-51,2.63E-26,1.51E-06,0.001600258,0.022752013,0.264636396,
5.73E-30,2.71E-16,2.14E-05,4.77E-109,1.97E-54,1.27E-12,5.85E-53,3.59E-27,3.49E-07,
1.62E-90,1.92E-45,1.66E-10,3.78E-35,2.11E-18,5.96E-05,2.36E-24,1.34E-13,4.14E-05,
4.12E-73,8.42E-37,1.11E-08,0.697213667,0.762652913,0.781776405,2.40E-59,1.67E-30,3.93E-08,
8.75E-33,4.05E-17,0.000126779,4.72E-53,2.89E-27,5.42E-07,0.000121349,0.004671998,0.120030725,
1.94E-203,9.46E-101,1.56E-21,4.13E-88,9.53E-45,2.72E-11,1.23E-110,3.05E-55,1.69E-12,
5.88E-81,3.70E-41,7.93E-10,1.04E-23,1.30E-12,0.000901669,6.33E-88,4.77E-44,3.86E-10,
1.46E-26,4.06E-14,0.000333895,2.32E-36,7.33E-19,6.47E-05,3.72E-55,1.34E-28,2.14E-07,
3.46E-18,6.90E-10,0.003309508,3.32E-140,6.57E-70,1.51E-15,8.43E-24,5.86E-13,0.000431884,
1.34E-45,5.39E-24,6.71E-07,1.16E-65,2.21E-33,2.53E-08,3.33E-14,6.02E-08,0.008922899,
5.35E-25,3.23E-13,0.000677733,7.60E-93,1.87E-46,1.10E-10,1.31E-64,2.97E-33,6.08E-09,
1.71E-55,1.56E-28,2.52E-07,1.78E-47,3.22E-24,4.61E-06,4.05E-30,6.03E-16,0.000138671,
1.63E-11,9.13E-07,0.014153614,1.46E-99,5.06E-50,1.39E-11,3.47E-101,6.95E-51,6.38E-12,
3.37E-16,3.60E-09,0.001688627,7.94E-83,4.52E-42,1.03E-10,2.66E-44,2.99E-23,8.71E-07,
1.22E-28,3.31E-15,0.000222058,2.79E-28,4.58E-15,0.000209086,6.53E-17,3.53E-09,0.005588323,
1.86E-32,4.95E-17,7.12E-05,9.71E-35,1.82E-18,1.60E-05,2.57E-120,3.83E-60,9.57E-14,
2.65E-51,4.19E-26,1.91E-06,3.43E-103,1.55E-51,8.85E-12,4.59E-61,4.69E-31,1.24E-07,
5.06E-99,1.36E-49,9.13E-12,8.63E-95,1.73E-47,4.73E-11,1.09E-52,5.00E-27,4.97E-07,
7.29E-56,1.29E-28,2.31E-07,5.86E-65,8.28E-33,5.82E-08,6.43E-23,2.24E-12,0.000796478,
4.95E-117,9.90E-59,1.43E-13,1.08E-35,9.17E-19,3.32E-05,3.03E-06,0.00046857,0.06989583,
5.79E-15,1.23E-08,0.001756638,1.93E-08,3.60E-05,0.029743268,1.88E-17,1.71E-09,0.005660383,
3.90E-97,1.30E-48,2.71E-11,6.65E-90,2.67E-45,6.88E-11,2.62E-10,4.59E-06,0.013334999,
6.71E-57,3.95E-29,2.22E-07,7.23E-82,2.41E-41,7.71E-10,1.99E-49,1.90E-25,1.38E-06,
1.75E-110,2.09E-55,9.10E-13,2.51E-110,2.97E-55,9.51E-13,5.96E-42,9.05E-22,8.18E-06,
1.67E-43,2.82E-22,1.03E-05,1.89E-52,6.49E-27,7.82E-07,4.57E-91,6.36E-46,7.86E-11,
4.94E-18,7.38E-10,0.004054974,2.02E-49,3.17E-25,1.29E-06,1.11E-10,1.38E-06,0.007088765,
1.21E-29,9.32E-16,0.000158883,1.06E-28,2.94E-15,8.63E-05,2.46E-54,2.17E-28,1.91E-08,
6.97E-96,1.72E-48,1.12E-11,5.47E-35,2.59E-18,5.05E-05,4.78E-64,1.02E-32,2.90E-08,
9.86E-80,1.15E-40,1.76E-10,6.30E-06,0.000641187,0.056432835,4.88E-34,9.11E-18,8.73E-05,
3.60E-67,2.05E-34,8.93E-09,4.86E-120,6.67E-60,7.76E-14,3.53E-22,3.26E-12,0.000491259,
2.27E-17,7.51E-10,0.000932822,1.29E-29,3.53E-16,3.24E-05,1.19E-15,9.84E-09,0.003906371,
,,,,,,,,,
1.89E-09,2.73E-06,2.63E-03,1.91E-02,2.67E-02,4.49E-02,3.14E-05,5.17E-04,1.14E-02,avg
1.03E-07,1.40E-04,7.74E-02,6.97E-01,7.63E-01,7.82E-01,1.60E-03,2.28E-02,2.65E-01,max
1.94E-203,9.46E-101,1.56E-21,1.06E-159,1.39E-79,4.96E-18,2.57E-120,3.83E-60,9.57E-14,min
